Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,591.1627983,641.871438,637.165464,613.8565052,578.4663529,509.2201005,519.8889126,493.7565814,507.1033919,508.8084095
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.681061056,8.974865343,1.97416569,-0.665291051,-1.622857186,-0.541416196,0.064764195,-1.194900383,1.535636674,-4.168191087
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.426354785,12.75228709,5.600744658,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-1.934778249
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,17804292964,20001598506,20561069558,20484885120,19907111419,18017749074,18869945678,18353881130,19291104008,19807067268
Afghanistan,AFG,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,3.143105557,3.407600033,3.494591927,3.355602331,3.077053629,2.778034788,2.54783304,2.384309079,2.313073349,2.303812093
Afghanistan,AFG,"Population, total",SP.POP.TOTL,30117411,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757,38928341
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,15415361,15964874,16554278,17138803,17686166,18186994,18651985,19093043,19529727,19976265
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,14702050,15196504,15715314,16232001,16727437,17196034,17644126,18078879,18512030,18952076
Afghanistan,AFG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,38.3,..,..,..,..,54.5,..,..,..,..
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.77,5.562,5.359,5.163,4.976,4.8,4.633,4.473,4.321,..
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,83.9,80.3,76.8,73.6,70.4,67.6,64.9,62.5,60.3,..
Albania,ALB,Income share held by lowest 20%,SI.DST.FRST.20,..,8.9,..,7,7.7,7.3,7.5,..,..,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4437.142885,4247.629984,4413.060861,4578.631994,3952.801215,4124.055726,4531.020806,5284.380184,5355.847795,5215.276752
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.821557928,1.585156475,1.187203907,1.985426103,2.516852986,3.480117005,3.897710666,4.328395578,2.609888198,-2.750816342
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.545321845,1.417525992,1.00198715,1.774486785,2.218752232,3.314804753,3.802197488,4.071301295,2.173692288,-3.311239444
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,12890765324,12319830252,12776217195,13228144008,11386846319,11861200797,13019693451,15147020535,15286612573,14799615097
Albania,ALB,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,43.49034119,45.2791481,..,..,..,..,..,..,..,..
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.269017332,-0.16515104,-0.183211385,-0.207047,-0.291205787,-0.159880412,-0.091972294,-0.246732042,-0.426007367,-0.577942252
Albania,ALB,"Population, total",SP.POP.TOTL,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837743
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,1466246,1467285,1468260,1468434,1466457,1465287,1464130,1460043,1453180,1444326
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,1438949,1433116,1426832,1420670,1414246,1410814,1409327,1406333,1401011,1393417
Albania,ALB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,14.3,..,..,..,..,..,..,..,..
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.673,1.684,1.69,1.688,1.677,1.659,1.638,1.617,1.597,..
Albania,ALB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,12.1,11.2,10.4,9.9,9.6,9.4,9.4,9.5,9.7,..
Algeria,DZA,Income share held by lowest 20%,SI.DST.FRST.20,9.4,..,..,..,..,..,..,..,..,..
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,5455.67903,5592.220115,5499.587331,5493.056663,4177.886892,3946.452425,4109.703442,4153.956234,3975.508993,3310.386534
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.980209993,1.40174756,0.76169938,1.710454904,1.600493696,1.104570156,-0.750456692,-0.811233175,-1.130725082,-7.201022374
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.899999999,3.4,2.8,3.8,3.7,3.2,1.3,1.2,0.8,-5.480991935
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2.00013E+11,2.09059E+11,2.09755E+11,2.1381E+11,1.65979E+11,1.60034E+11,1.70097E+11,1.75415E+11,1.71158E+11,1.45164E+11
Algeria,DZA,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.883308586,1.951463675,2.002703605,2.033587155,2.045372088,2.051352373,2.044909313,2.007398663,1.933983344,1.836533504
Algeria,DZA,"Population, total",SP.POP.TOTL,36661438,37383899,38140135,38923688,39728020,40551398,41389174,42228415,43053054,43851043
Algeria,DZA,"Population, male",SP.POP.TOTL.MA.IN,18505611,18871563,19256116,19654929,20063891,20481901,20906756,21331993,21749666,22153808
Algeria,DZA,"Population, female",SP.POP.TOTL.FE.IN,18155827,18512336,18884019,19268759,19664129,20069497,20482418,20896422,21303388,21697235
Algeria,DZA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,5.5,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.909,2.952,2.99,3.022,3.043,3.052,3.045,3.023,2.988,..
Algeria,DZA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,26.7,26.2,25.8,25.5,25.2,24.8,24.3,23.8,23.3,..
American Samoa,ASM,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,10223.29836,11496.5241,11450.7242,11525.15639,12059.63516,12038.2497,11003.82976,11557.67116,11534.56754,..
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.590081607,-4.187040198,-2.583995908,1.627844464,3.121880892,-1.561204901,-6.783548017,3.629568511,-1.188493717,..
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,-4.334828102,-2.5,1.762820513,3.149606299,-1.679389313,-6.98757764,3.338898164,-1.453957997,..
